Order,AIC,BIC
"(0, 0, 0)",108.05906898872209,110.33005742058039
"(0, 0, 1)",108.16649229436658,111.57297494215402
"(0, 0, 2)",109.64460282544606,114.18657968916266
"(0, 1, 0)",106.48675050274701,107.57779295610533
"(0, 1, 1)",104.17744443981643,106.35952934653307
"(0, 1, 2)",106.15447750713015,109.4276048672051
"(0, 2, 0)",122.65599382758934,123.70051626531277
"(0, 2, 1)",107.5015684393058,109.59061331475264
"(0, 2, 2)",106.46567582304793,109.5992431362182
"(1, 0, 0)",107.5922618692972,110.99874451708465
"(1, 0, 1)",109.33231977974157,113.87429664345817
"(1, 0, 2)",111.26777049632334,116.94524157596908
"(1, 1, 0)",105.2193640262304,107.40144893294703
"(1, 1, 1)",106.14825655313184,109.4213839132068
"(1, 1, 2)",108.10900835173737,112.47317816517064
"(1, 2, 0)",114.65641298047805,116.7454578559249
"(1, 2, 1)",106.90564650769899,110.03921382086926
"(1, 2, 2)",108.45163942012401,112.6297291710177
"(2, 0, 0)",109.3081083991179,113.8500852628345
"(2, 0, 1)",111.29810256424906,116.97557364389482
"(2, 0, 2)",113.31962715154644,120.13259244712134
"(2, 1, 0)",106.35589456729052,109.62902192736547
"(2, 1, 1)",107.74842624541064,112.1125960588439
"(2, 1, 2)",109.64710267486007,115.10231494165164
"(2, 2, 0)",111.2048344242668,114.33840173743708
"(2, 2, 1)",108.3847984563167,112.56288820721039
"(2, 2, 2)",110.28619731451126,115.50880950312838
